Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"AS.101","The Foundations of the United States Air Force",1,0,1,2,,,,"","AS.111","Survey designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps. Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems, and an introduction to communication skills.",,,,,Y,,,,,"P. Dela Cruz","Lecture,W59-073/T/0/2"
"AS.102","The Foundations of the United States Air Force",,,,,,,,,"AS.112",,,,,,,,,,,,
"AS.111","Leadership Laboratory",,,,2,,,,"","AS.101","First-year General Military Course. Includes a study of Air Force customs and courtesies, drill and ceremonies, and military commands. Also includes studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers, as well as interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets.",,,,,Y,,,,,"P. Dela Cruz","Lecture,W59-073/T/0/3-5"
"AS.112","Leadership Laboratory",,,,,,,,,"AS.102",,,,,,,,,,,,
"AS.201","The Evolution of USAF Air and Space Power",1,0,1,2,,,,"AS.102,permission of instructor","AS.211","Survey designed to facilitate the transition from Air Force ROTC cadet to Air Force ROTC officer candidate. Featured topics include: Air Force heritage and leaders, Quality Air Force, an introduction to ethics and values, introduction to leadership, group leadership problems, and continuing application of communication skills. AS.202 is a continuation of AS.201.",,,,,Y,,,,,"T. Hubbard","Lecture,W59-147/T/0/1"
"AS.202","The Evolution of USAF Air and Space Power",,,,,,,,,"AS.212",,,,,,,,,,,,
"AS.211","Leadership Laboratory",,,,2,,,,"AS.112,permission of instructor","AS.201","Emphasizes development of techniques used to direct and inform. Students are assigned leadership and management positions in the AS.111 programs. AS.212 is a continuation of AS.211.",,,,,Y,,,,,"P. Dela Cruz","Lecture,W59-073/T/0/3-5"
"AS.212","Leadership Laboratory",,,,,,,,,"AS.202",,,,,,,,,,,,
"AS.301","Air Force Leadership Studies",3,0,6,9,,,,"AS.202,permission of instructor","AS.311","Study of leadership, quality management fundamentals, professional knowledge, Air Force doctrine, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. AS.302 is a continuation of AS.301.",,,,,Y,,,,,"S. Ott","Lecture,W59-073/TR/0/2-5"
"AS.302","Air Force Leadership Studies",,,,,,,,,"AS.312",,,,,,,,,,,,
"AS.311","Leadership Laboratory",,,,2,,,,"AS.212,permission of instructor","AS.301","Consists of activities classified as advanced leadership experiences that involve the planning and controlling of military activities of the cadet corps and the preparation and presentation of briefings and other oral and written communications. Also includes interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets. AS.312 is a continuation of AS.311.",,,,,Y,,,,,"P. Dela Cruz","Lecture,W59-073/T/0/3-5"
"AS.312","Leadership Laboratory",,,,,,,,,"AS.302",,,,,,,,,,,,
"AS.401","National Security Affairs/Preparation for Active Duty",3,0,9,12,,,,"AS.302,permission of instructor","AS.411","Examines the national security process, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics of interest focus on the military as a profession, officership, military justice, civilian control of the military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. AS.402 is a continuation of AS.401.",,,,,Y,,,,,"S. Ott","Lecture,W59-073/F/0/2-5"
"AS.402","National Security Affairs/Preparation for Active Duty",,,,,,,,,"AS.412",,,,,,,,,,,,
"AS.411","Leadership Laboratory",,,,2,,,,"AS.312,permission of instructor","AS.401","Consists of activities classified as advanced leadership experiences that involve the planning and controlling of military activities of the cadet corps, and the preparation and presentation of briefings and other oral and written communications. Also includes interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets. AS.412 is a continuation of AS.411.",,,,,Y,,,,,"P. Dela Cruz","Lecture,W59-073/T/0/3-5"
"AS.412","Leadership Laboratory",,,,,,,,,"AS.402",,,,,,,,,,,,
"AS.511","Leadership Laboratory",,,,2,,,,"AS.412,permission of instructor",,"Consists of activities classified as advanced leadership experiences to continue developing critical leadership, managerial and communication skills along with maintaining an active, physical lifestyle needed in today's Air Force. AS.512 is a continuation of AS.511.",,,,,Y,,,,,,
"AS.512","Leadership Laboratory",,,,,,,,,,,,,,,,,,,,,
"AS.811","Leadership Laboratory",,,,2,,,,"AS.411,permission of instructor",,"Consists of activities classified as advanced leadership experiences to continue developing critical leadership, managerial and communication skills, along with maintaining an active, physical lifestyle needed in today's Air Force.",,,,,Y,,,,,"P. Dela Cruz","Lecture,W59-073/T/0/3-5"
"AS.812","Leadership Laboratory",,,,2,,,,"Permission of instructor",,"Cadets develop critical leadership, managerial and communication skills while maintaining an active, physical lifestyle needed in today's Air Force. Consists of activities classified as advanced leadership experiences that involve mentoring the cadet corps, special projects, and event planning.",,,,,,Y,Y,Y,,,
